rules,support,confidence,coverage,lift,count
"{whole milk,yogurt} => {curd}",0.01006609,0.179673321,0.056024403,3.372303653,99
"{citrus fruit,other vegetables} => {root vegetables}",0.010371124,0.35915493,0.028876462,3.295045459,102
"{other vegetables,yogurt} => {whipped/sour cream}",0.010167768,0.234192037,0.04341637,3.26706197,100
"{other vegetables,tropical fruit} => {root vegetables}",0.012302999,0.342776204,0.035892222,3.144779819,121
{beef} => {root vegetables},0.017386884,0.331395349,0.052465684,3.040366843,171
{root vegetables} => {beef},0.017386884,0.159514925,0.108998475,3.040366843,171
"{citrus fruit,root vegetables} => {other vegetables}",0.010371124,0.586206897,0.017691917,3.029608422,102
"{root vegetables,tropical fruit} => {other vegetables}",0.012302999,0.584541063,0.02104728,3.020999134,121
"{other vegetables,whole milk} => {root vegetables}",0.023182511,0.309782609,0.074834774,2.842082049,228
"{other vegetables,whole milk} => {butter}",0.011489578,0.153532609,0.074834774,2.770629737,113
"{curd,whole milk} => {yogurt}",0.01006609,0.385214008,0.026131164,2.761355515,99
{curd} => {whipped/sour cream},0.010472801,0.196564885,0.053279105,2.742149857,103
{whipped/sour cream} => {curd},0.010472801,0.146099291,0.071682766,2.742149857,103
"{other vegetables,whole milk} => {whipped/sour cream}",0.014641586,0.195652174,0.074834774,2.729417206,144
"{other vegetables,yogurt} => {root vegetables}",0.012913066,0.297423888,0.04341637,2.7286977,127
"{whole milk,yogurt} => {whipped/sour cream}",0.010879512,0.194192377,0.056024403,2.709052529,107
"{other vegetables,yogurt} => {tropical fruit}",0.012302999,0.283372365,0.04341637,2.700549625,121
"{other vegetables,root vegetables} => {citrus fruit}",0.010371124,0.21888412,0.0473818,2.647878625,102
"{other vegetables,rolls/buns} => {root vegetables}",0.012201322,0.286396181,0.042602949,2.627524668,120
"{tropical fruit,whole milk} => {root vegetables}",0.011997966,0.283653846,0.042297916,2.602365277,118
"{rolls/buns,root vegetables} => {other vegetables}",0.012201322,0.50209205,0.024300966,2.594889813,120
"{other vegetables,whole milk} => {domestic eggs}",0.012302999,0.164402174,0.074834774,2.591178494,121
"{root vegetables,yogurt} => {other vegetables}",0.012913066,0.5,0.025826131,2.584077772,127
"{whole milk,yogurt} => {tropical fruit}",0.015149975,0.270417423,0.056024403,2.577088521,149
{pip fruit} => {tropical fruit},0.020437214,0.27016129,0.075648195,2.574647568,201
{tropical fruit} => {pip fruit},0.020437214,0.194767442,0.104931368,2.574647568,201
"{tropical fruit,whole milk} => {yogurt}",0.015149975,0.358173077,0.042297916,2.567516189,149
{butter} => {whipped/sour cream},0.010167768,0.183486239,0.055414337,2.559698094,100
{whipped/sour cream} => {butter},0.010167768,0.141843972,0.071682766,2.559698094,100
"{whipped/sour cream,yogurt} => {other vegetables}",0.010167768,0.490196078,0.020742247,2.53340958,100
"{other vegetables,whipped/sour cream} => {yogurt}",0.010167768,0.352112676,0.028876462,2.524073009,100
"{other vegetables,root vegetables} => {tropical fruit}",0.012302999,0.259656652,0.0473818,2.474537961,121
"{other vegetables,tropical fruit} => {yogurt}",0.012302999,0.342776204,0.035892222,2.457145748,121
"{root vegetables,whole milk} => {other vegetables}",0.023182511,0.474012474,0.048906965,2.449770195,228
"{whipped/sour cream,whole milk} => {yogurt}",0.010879512,0.337539432,0.032231825,2.419606644,107
"{citrus fruit,whole milk} => {yogurt}",0.010269446,0.336666667,0.030503305,2.41335034,101
"{other vegetables,whole milk} => {pip fruit}",0.013523132,0.180706522,0.074834774,2.388775056,133
"{whole milk,yogurt} => {root vegetables}",0.014539908,0.259528131,0.056024403,2.381025341,143
{onions} => {other vegetables},0.014234875,0.459016393,0.031011693,2.372268119,140
{other vegetables} => {onions},0.014234875,0.07356805,0.193492628,2.372268119,140
"{pork,whole milk} => {other vegetables}",0.010167768,0.458715596,0.022165735,2.370713552,100
"{other vegetables,whole milk} => {pork}",0.010167768,0.135869565,0.074834774,2.356749866,100
"{whipped/sour cream,whole milk} => {other vegetables}",0.014641586,0.454258675,0.032231825,2.34767949,144
"{root vegetables,whole milk} => {tropical fruit}",0.011997966,0.245322245,0.048906965,2.337930507,118
{chicken} => {root vegetables},0.010879512,0.253554502,0.042907982,2.326220644,107
{root vegetables} => {chicken},0.010879512,0.099813433,0.108998475,2.326220644,107
{curd} => {yogurt},0.017285206,0.324427481,0.053279105,2.325615361,170
{yogurt} => {curd},0.017285206,0.123906706,0.139501779,2.325615361,170
"{pip fruit,whole milk} => {other vegetables}",0.013523132,0.449324324,0.030096594,2.322177998,133
{citrus fruit} => {tropical fruit},0.019928826,0.241082411,0.082663955,2.297524719,196
{tropical fruit} => {citrus fruit},0.019928826,0.189922481,0.104931368,2.297524719,196
{berries} => {yogurt},0.010574479,0.318042813,0.033248602,2.279847719,104
{yogurt} => {berries},0.010574479,0.075801749,0.139501779,2.279847719,104
"{curd,yogurt} => {whole milk}",0.01006609,0.582352941,0.017285206,2.27912502,99
{root vegetables} => {other vegetables},0.0473818,0.434701493,0.108998475,2.246604929,466
{other vegetables} => {root vegetables},0.0473818,0.244876511,0.193492628,2.246604929,466
"{butter,other vegetables} => {whole milk}",0.011489578,0.573604061,0.020030503,2.244884974,113
{cream cheese} => {yogurt},0.012404677,0.312820513,0.039654296,2.24241235,122
{yogurt} => {cream cheese},0.012404677,0.088921283,0.139501779,2.24241235,122
"{root vegetables,tropical fruit} => {whole milk}",0.011997966,0.570048309,0.02104728,2.230969009,118
"{whole milk,yogurt} => {citrus fruit}",0.010269446,0.183303085,0.056024403,2.217448763,101
{pip fruit} => {citrus fruit},0.013828165,0.182795699,0.075648195,2.211310823,136
{citrus fruit} => {pip fruit},0.013828165,0.167281673,0.082663955,2.211310823,136
{frozen vegetables} => {root vegetables},0.011591256,0.241014799,0.048093543,2.211175886,114
{root vegetables} => {frozen vegetables},0.011591256,0.106343284,0.108998475,2.211175886,114
"{citrus fruit,whole milk} => {other vegetables}",0.013014743,0.426666667,0.030503305,2.205079699,128
"{root vegetables,yogurt} => {whole milk}",0.014539908,0.562992126,0.025826131,2.203353585,143
{whipped/sour cream} => {root vegetables},0.017081851,0.238297872,0.071682766,2.186249603,168
{root vegetables} => {whipped/sour cream},0.017081851,0.156716418,0.108998475,2.186249603,168
"{other vegetables,whole milk} => {tropical fruit}",0.017081851,0.22826087,0.074834774,2.175334934,168
"{tropical fruit,yogurt} => {other vegetables}",0.012302999,0.420138889,0.029283172,2.171343128,121
{pork} => {root vegetables},0.013624809,0.23633157,0.057651246,2.168209877,134
{root vegetables} => {pork},0.013624809,0.125,0.108998475,2.168209877,134
"{domestic eggs,other vegetables} => {whole milk}",0.012302999,0.552511416,0.022267412,2.162335763,121
{chicken} => {other vegetables},0.017895272,0.417061611,0.042907982,2.155439279,176
{other vegetables} => {chicken},0.017895272,0.092485549,0.193492628,2.155439279,176
"{butter,whole milk} => {other vegetables}",0.011489578,0.41697417,0.027554652,2.154987367,113
{hamburger meat} => {other vegetables},0.013828165,0.415902141,0.033248602,2.149446954,136
{other vegetables} => {hamburger meat},0.013828165,0.071466106,0.193492628,2.149446954,136
{butter} => {root vegetables},0.012913066,0.233027523,0.055414337,2.137897097,127
{root vegetables} => {butter},0.012913066,0.118470149,0.108998475,2.137897097,127
"{other vegetables,whole milk} => {yogurt}",0.022267412,0.297554348,0.074834774,2.132978871,219
"{root vegetables,whole milk} => {yogurt}",0.014539908,0.297297297,0.048906965,2.131136238,143
"{domestic eggs,whole milk} => {other vegetables}",0.012302999,0.410169492,0.029994916,2.119819732,121
"{other vegetables,whole milk} => {citrus fruit}",0.013014743,0.173913043,0.074834774,2.103855821,128
"{tropical fruit,whole milk} => {other vegetables}",0.017081851,0.403846154,0.042297916,2.087139739,168
{whipped/sour cream} => {other vegetables},0.028876462,0.402836879,0.071682766,2.081923652,284
{other vegetables} => {whipped/sour cream},0.028876462,0.149238045,0.193492628,2.081923652,284
{whipped/sour cream} => {yogurt},0.020742247,0.289361702,0.071682766,2.074250977,204
{yogurt} => {whipped/sour cream},0.020742247,0.148688047,0.139501779,2.074250977,204
{domestic eggs} => {root vegetables},0.014336553,0.225961538,0.063446873,2.073070644,141
{root vegetables} => {domestic eggs},0.014336553,0.131529851,0.108998475,2.073070644,141
"{rolls/buns,whole milk} => {root vegetables}",0.01270971,0.224416517,0.056634469,2.058895938,125
"{whole milk,yogurt} => {other vegetables}",0.022267412,0.397459165,0.056024403,2.054130788,219
"{whipped/sour cream,yogurt} => {whole milk}",0.010879512,0.524509804,0.020742247,2.052747283,107
"{rolls/buns,root vegetables} => {whole milk}",0.01270971,0.523012552,0.024300966,2.046887565,125
"{fruit/vegetable juice,whole milk} => {other vegetables}",0.010472801,0.393129771,0.026639553,2.031755805,103
"{other vegetables,pip fruit} => {whole milk}",0.013523132,0.517509728,0.026131164,2.025351441,133
"{tropical fruit,yogurt} => {whole milk}",0.015149975,0.517361111,0.029283172,2.024769808,149
"{other vegetables,yogurt} => {whole milk}",0.022267412,0.512880562,0.04341637,2.007234512,219
{tropical fruit} => {yogurt},0.029283172,0.279069767,0.104931368,2.000474608,288
{yogurt} => {tropical fruit},0.029283172,0.209912536,0.139501779,2.000474608,288
"{other vegetables,whipped/sour cream} => {whole milk}",0.014641586,0.507042254,0.028876462,1.984385421,144
{domestic eggs} => {citrus fruit},0.010371124,0.163461538,0.063446873,1.977422178,102
{citrus fruit} => {domestic eggs},0.010371124,0.125461255,0.082663955,1.977422178,102
"{rolls/buns,whole milk} => {yogurt}",0.015556685,0.274685817,0.056634469,1.96904884,153
{citrus fruit} => {root vegetables},0.017691917,0.21402214,0.082663955,1.963533348,174
{root vegetables} => {citrus fruit},0.017691917,0.162313433,0.108998475,1.963533348,174
"{other vegetables,root vegetables} => {yogurt}",0.012913066,0.272532189,0.0473818,1.953610843,127
